-90,0.3348,0.25832
-89.696,0.33964,0.24207
-89,0.3447,0.21108
-88.412,0.34661,0.18771
-88,0.34712,0.17243
-87,0.34592,0.13851
-86.148,0.34244,0.11277
-86,0.34164,0.10858
-85,0.33506,0.082257
-84,0.32696,0.059179
-83,0.318,0.038987
-82.975,0.31777,0.038521
-82,0.30864,0.021347
-81,0.29918,0.0059452
-80,0.28979,-0.0074906
-79,0.2806,-0.019181
-78.985,0.28047,-0.019342
-78,0.27167,-0.02931
-77,0.2631,-0.038031
-76,0.2549,-0.045499
-75,0.24705,-0.051839
-74.277,0.24161,-0.05578
-74,0.23958,-0.057156
-73,0.23247,-0.061566
-72,0.22568,-0.065182
-71,0.21922,-0.068136
-70,0.2131,-0.070592
-69,0.20728,-0.072689
-68.949,0.20699,-0.072787
-68,0.20177,-0.074504
-67,0.19662,-0.076049
-66,0.1919,-0.077192
-65,0.18768,-0.077734
-64,0.18392,-0.077411
-63.096,0.1808,-0.076211
-63,0.18048,-0.076034
-62,0.17704,-0.073838
-61,0.17323,-0.071544
-60,0.16961,-0.069258
-59,0.1654,-0.066658
-58,0.16137,-0.064086
-57,0.15701,-0.061463
-56.804,0.15615,-0.060883
-56,0.15267,-0.058168
-55,0.14859,-0.054071
-54,0.14488,-0.049422
-53,0.14152,-0.044506
-52,0.13843,-0.039533
-51,0.13553,-0.034641
-50.148,0.13317,-0.030557
-50,0.13277,-0.029852
-49,0.1301,-0.025142
-48,0.12753,-0.020447
-47,0.12504,-0.0157
-46,0.12262,-0.010858
-45,0.12026,-0.0059089
-44,0.11798,-0.00084627
-43.197,0.1162,0.0032959
-43,0.11577,0.0043195
-42,0.11362,0.0095801
-41,0.11154,0.014928
-40,0.10952,0.020352
-39,0.10754,0.025834
-38,0.10561,0.031368
-37,0.10372,0.036962
-36.008,0.1019,0.042583
-36,0.10189,0.042627
-35,0.10012,0.048355
-34,0.098418,0.054135
-33,0.096763,0.05995
-32,0.095149,0.065794
-31,0.093574,0.071659
-30,0.092041,0.077545
-29,0.090555,0.083458
-28.634,0.090023,0.085632
-28,0.08912,0.089397
-27,0.087737,0.095356
-26,0.086398,0.10133
-25,0.085093,0.1073
-24,0.083822,0.11327
-23,0.082582,0.11924
-22,0.081376,0.12521
-21.122,0.080353,0.13046
-21,0.080214,0.13118
-20,0.079093,0.13715
-19,0.078016,0.1431
-18,0.076972,0.14904
-17,0.075957,0.15495
-16,0.07497,0.16082
-15,0.074011,0.16666
-14,0.073086,0.17247
-13.52,0.072655,0.17525
-13,0.072198,0.17825
-12,0.071351,0.18402
-11,0.07054,0.18975
-10,0.069758,0.19545
-9,0.069002,0.20109
-8,0.068272,0.20669
-7,0.06757,0.21224
-6,0.066897,0.21773
-5.9013,0.066833,0.21827
-5,0.066259,0.22317
-4,0.065661,0.22858
-3,0.065099,0.23394
-2,0.064572,0.23926
-1,0.064073,0.24451
-0.00081028,0.063599,0.24968
0.00081028,0.063599,0.24969
1,0.063149,0.25477
2,0.062725,0.25977
3,0.062332,0.2647
4,0.061977,0.26956
5,0.06166,0.27436
5.9013,0.061411,0.27865
6,0.061386,0.27912
7,0.061152,0.28381
8,0.060952,0.28842
9,0.060784,0.29294
10,0.06065,0.29736
11,0.060549,0.30169
12,0.060486,0.30592
13,0.060464,0.31007
13.52,0.060472,0.31221
14,0.060491,0.31417
15,0.060563,0.31818
16,0.060678,0.32211
17,0.060831,0.32592
18,0.061023,0.32962
19,0.061255,0.33322
20,0.061532,0.3367
21,0.061864,0.34011
21.122,0.061908,0.34052
22,0.06225,0.34344
23,0.062692,0.34669
24,0.063182,0.34982
25,0.063721,0.35283
26,0.064309,0.35571
27,0.064951,0.35847
28,0.065655,0.36113
28.634,0.066137,0.36278
29,0.066429,0.36371
30,0.067274,0.36619
31,0.068186,0.36857
32,0.069163,0.37081
33,0.070204,0.37292
34,0.071315,0.3749
35,0.072504,0.37676
36,0.073787,0.37853
36.008,0.073797,0.37855
37,0.07516,0.3802
38,0.076627,0.38176
39,0.078183,0.38318
40,0.079829,0.38447
41,0.08157,0.38561
42,0.083419,0.38664
43,0.085391,0.38757
43.197,0.085794,0.38774
44,0.087488,0.38839
45,0.08971,0.38911
46,0.092061,0.3897
47,0.094542,0.39015
48,0.097161,0.39045
49,0.099942,0.39063
50,0.1029,0.39069
50.148,0.10335,0.39069
51,0.10603,0.39061
52,0.10934,0.39041
53,0.11284,0.39008
54,0.11655,0.38959
55,0.12048,0.38895
56,0.12466,0.38816
56.804,0.1282,0.38741
57,0.12908,0.38721
58,0.13377,0.3861
59,0.13875,0.38485
60,0.14402,0.38345
61,0.14963,0.38189
62,0.1556,0.38017
63,0.16192,0.37826
63.096,0.16255,0.37807
64,0.16862,0.37617
65,0.17572,0.37391
66,0.18329,0.37149
67,0.19135,0.3689
68,0.1999,0.36612
68.949,0.20847,0.36329
69,0.20894,0.36314
70,0.21851,0.35994
71,0.22864,0.35654
72,0.2394,0.35298
73,0.25076,0.34923
74,0.26269,0.34526
74.277,0.2661,0.34411
75,0.27521,0.34103
76,0.28832,0.33657
77,0.30193,0.33187
78,0.31603,0.32697
78.985,0.33032,0.32191
79,0.33054,0.32183
80,0.34526,0.31639
81,0.36008,0.31062
82,0.37478,0.3045
82.975,0.38884,0.29823
83,0.38919,0.29806
84,0.40319,0.29128
85,0.41664,0.28403
86,0.42964,0.27623
86.148,0.43153,0.27504
87,0.44233,0.26795
88,0.45457,0.25987
88.412,0.45922,0.25705
89,0.46493,0.25412
89.696,0.46882,0.25359
90,0.46749,0.25615
